Date,Description,Amount
7/6/2024,"BPS*BILT REWARDS A NEW YORK     ,NY",100
7/6/2024,"KFC E320080 NORTH PALM BE,FL",24.9
7/7/2024,"FIVE BELOW 927 PALM BEACH GA,FL",11.72
7/9/2024,"BURGER KING #4090  Q07 JUPITER      ,FL",6.2
7/9/2024,"BURGER KING #4090  Q07 JUPITER      ,FL",16.02
7/10/2024,"TARGET.COM  * 800-591-3869 ,MN",2.5
7/10/2024,"TEMU.COM BOSTON       ,MA",59.27
7/11/2024,"SPICE OF INDIA - WEST WEST PALM BEA,FL",-0.5
7/11/2024,"SPICE OF INDIA - WEST WEST PALM BEA,FL",31.06
7/11/2024,"SPICE OF INDIA - WEST WEST PALM BEA,FL",28.51
7/11/2024,"SPICE OF INDIA - WEST WEST PALM BEA,FL",7.99
7/11/2024,"AMAZON MKTPL*RY5VZ6PN2 AMZN.COM/BILL,WA",4.8
7/11/2024,"AMAZON MKTPL*RY7L36VH2 AMZN.COM/BILL,WA",10.69
7/12/2024,"SHEIN.COM NEW YORK     ,NY",14.61
7/13/2024,"PUBLIX #434 PALM BCH GDNS,FL",8.49
7/13/2024,"SAMSCLUB #8157 WEST PALM BEA,FL",20.48
7/13/2024,"TEMU.COM BOSTON       ,MA",23.65
7/13/2024,"WM SUPERCENTER #3348 LAKE PARK    ,FL",15.33
7/14/2024,"LITTLE CAESARS 1613-00 ROYAL PALM BE,FL",7.48
7/15/2024,"WWW COSTCO COM 800-955-2292 ,WA",278.19
7/28/2024,"DOMINO'S 5062 NORTH PALM BE,FL",9.08
8/1/2024,"BURGER KING #4451  Q07 RIVIERA BEACH,FL",3.2
8/1/2024,"BURGER KING #4451  Q07 RIVIERA BEACH,FL",5.56
8/3/2024,"BPS*BILT REWARDS A NEW YORK     ,NY","2,278.23"
8/4/2024,"AMAZON MKTPLACE PMTS AMZN.COM/BILL,WA",-4.8
8/5/2024,"PUBLIX #699 N PALM BEACH ,FL",2.12
8/6/2024,"CHICK-FIL-A #01827 LAKE PARK    ,FL",6.05
8/7/2024,"WM SUPERCENTER #3348 LAKE PARK    ,FL",3.38
8/8/2024,"CHICK-FIL-A #01827 LAKE PARK    ,FL",7.05
8/21/2024,"SHEIN.COM NEW YORK     ,NY",-14.61
9/1/2024,"RINGLING MUSEUM OF ART SARASOTA     ,FL",90
9/1/2024,"RINGLING MUSEUM OF ART SARASOTA     ,FL",75
9/1/2024,"OLIVE GARDEN ZK 002111 SARASOTA     ,FL",45.62
9/4/2024,"PANDA EXPRESS #3007 PALM BEACH GA,FL",10.49
9/5/2024,"BPS*BILT REWARDS A NEW YORK     ,NY","2,276.70"
9/5/2024,"DOMINO'S 5062 NORTH PALM BE,FL",9.9
9/7/2024,"BURGER KING #4451  Q07 RIVIERA BEACH,FL",5.55
9/8/2024,"KOHL'S #1287 LAKE PARK    ,FL",1.06
9/9/2024,"MCDONALDS 28730 PALM BEACH GA,FL",5.02
9/10/2024,"BURGER KING #4451  Q07 RIVIERA BEACH,FL",5.55
9/13/2024,"TEMU.COM 13024806118  ,MA",6.11
9/14/2024,"BURGER KING #5077 ORLANDO      ,FL",5.3
9/15/2024,"BURGER KING #4090  Q07 JUPITER      ,FL",5.66
9/15/2024,"FRIENDS INDIAN CUISINE ORLANDO      ,FL",53.38
9/15/2024,"MARRIOTT ORLANDO WORLD 866-435-7627 ,FL",86.96
9/17/2024,"MCDONALDS 5892 PALM BEACH GA,FL",5.56
9/20/2024,"MCDONALDS 28730 PALM BEACH GA,FL",0.54
9/24/2024,"CHICK-FIL-A #01827 LAKE PARK    ,FL",13.46
9/29/2024,"MCDONALDS 28730 PALM BEACH GA,FL",9.31
10/1/2024,"CINEPOLIS JUPITER JUPITER      ,FL",57.78
10/1/2024,"CHICK-FIL-A #01827 LAKE PARK    ,FL",13.46
10/1/2024,"WAL-MART #2176 JUPITER      ,FL",12.09
10/1/2024,"WAL-MART #3348 LAKE PARK    ,FL",1.07
10/4/2024,"BPS*BILT REWARDS A NEW YORK     ,NY","2,272.00"
10/4/2024,"ARAMARK FP AND L JUNO JUNO BEACH   ,FL",6.09
10/4/2024,"DOMINO'S 5062 NORTH PALM BE,FL",9.36
10/8/2024,"MCDONALDS 28730 PALM BEACH GA,FL",6.96
10/8/2024,"WM SUPERCENTER #3348 LAKE PARK    ,FL",5.65
10/9/2024,"MCDONALDS 28730 PALM BEACH GA,FL",11.97
10/14/2024,"OLIVE GARDEN ZK 002644 WEST PALM BEA,FL",40.14
10/17/2024,"ARAMARK FP AND L JUNO JUNO BEACH   ,FL",7.86
10/18/2024,"PAPA JOHN S 2085 PALM BEACH GA,FL",11.76
10/22/2024,"BURGER KING #4451  Q07 RIVIERA BEACH,FL",5.55
10/26/2024,"MCDONALD'S F5499 CARTERSVILLE ,GA",8.13
10/27/2024,"PANERA BREAD #202608 O 417-887-7677 ,TN",3.43
11/4/2024,"MCDONALD'S F28730 PALM BEACH GA,FL",9.53
11/5/2024,"BPS*BILT REWARDS A NEW YORK     ,NY","2,278.29"
11/8/2024,"ARAMARK FP AND L JUNO JUNO BEACH   ,FL",6.09
11/9/2024,"PANDA EXPRESS #3745 DEERFIELD BEA,FL",10.49
11/9/2024,"POPEYES 2648 DEERFIELD BEA,FL",19.24
11/11/2024,"DOMINO'S 5062 NORTH PALM BE,FL",12.83
11/15/2024,"DOMINO'S 5062 NORTH PALM BE,FL",2.66
11/20/2024,"MCDONALDS 28730 PALM BEACH GA,FL",6.41
11/25/2024,"DOMINO'S 5062 NORTH PALM BE,FL",12.83
11/29/2024,"BURGER KING #11109 Q07 WEST PALM BEA,FL",5.34
11/29/2024,"BURGER KING #11109 Q07 WEST PALM BEA,FL",9.62
11/29/2024,"DOMINO'S 5052 WEST PALM BEA,FL",9.08
12/2/2024,"BURGER KING #4451  Q07 RIVIERA BEACH,FL",5.34
12/2/2024,"BURGER KING #4451  Q07 RIVIERA BEACH,FL",12.51
12/4/2024,"CHICK-FIL-A #01827 LAKE PARK    ,FL",6.41
12/5/2024,"BPS*BILT REWARDS A NEW YORK     ,NY","2,277.20"
12/6/2024,"DOMINO'S 5062 NORTH PALM BE,FL",12.83
12/7/2024,"CITY OF WPB PARKING GA WEST PALM BEA,FL",5
12/9/2024,"KFC E320080 NORTH PALM BE,FL",6.94
12/10/2024,"BPS*BILT REWARDS A NEW YORK     ,NY",18.71
12/21/2024,"SUBWAY 59299 WEST PALM BEA,FL",9.55
12/22/2024,"LITTLE CAESARS 3054-00 LAKE PARK    ,FL",3.21
12/22/2024,"POPEYES 4549 RIVIERA BEACH,FL",26.76
12/23/2024,"NYX*PRIMO WATER 1-844- HUNT VALLEY  ,MD",2.6
12/25/2024,"BURGER KING #4451  Q07 RIVIERA BEACH,FL",21.05
